g_id,hpo_ids
COG2,"['HP:0002506', 'HP:0002510', 'HP:0012345', 'HP:0000007', 'HP:0002079', 'HP:0012506', 'HP:0001250', 'HP:0002910', 'HP:0001263', 'HP:0005484', 'HP:0003593']"
COG4,"['HP:0000639', 'HP:0003015', 'HP:0000444', 'HP:0001762', 'HP:0008897', 'HP:0000662', 'HP:0000926', 'HP:0004798', 'HP:0100874', 'HP:0000446', 'HP:0002240', 'HP:0000592', 'HP:0000520', 'HP:0001999', 'HP:0000007', 'HP:0000260', 'HP:0000252', 'HP:0001399', 'HP:0000006', 'HP:0001511', 'HP:0001263', 'HP:0001875', 'HP:0002673', 'HP:0001290', 'HP:0000768', 'HP:0001270', 'HP:0000737', 'HP:0003155', 'HP:0000518', 'HP:0001276', 'HP:0002079', 'HP:0001344', 'HP:0000347', 'HP:0011968', 'HP:0001508', 'HP:0004322', 'HP:0010049', 'HP:0010743', 'HP:0000767', 'HP:0001394', 'HP:0002028', 'HP:0002205', 'HP:0001250', 'HP:0000750', 'HP:0011220', 'HP:0001251', 'HP:0002059', 'HP:0001744', 'HP:0001015', 'HP:0009882', 'HP:0002910', 'HP:0010230']"
COG5,"['HP:0012301', 'HP:0001272', 'HP:0001270', 'HP:0000011', 'HP:0002078', 'HP:0000007', 'HP:0000750', 'HP:0000252', 'HP:0001252', 'HP:0002059', 'HP:0001249', 'HP:0004322', 'HP:0000365', 'HP:0007366']"
COG6,"['HP:0002848', 'HP:0001631', 'HP:0000648', 'HP:0003577', 'HP:0000670', 'HP:0001892', 'HP:0002719', 'HP:0000962', 'HP:0000122', 'HP:0030948', 'HP:0000286', 'HP:0002240', 'HP:0002536', 'HP:0001873', 'HP:0003236', 'HP:0000007', 'HP:0000238', 'HP:0000252', 'HP:0002040', 'HP:0001511', 'HP:0001263', 'HP:0000278', 'HP:0012301', 'HP:0001290', 'HP:0000972', 'HP:0003155', 'HP:0002079', 'HP:0001629', 'HP:0000958', 'HP:0001643', 'HP:0005435', 'HP:0001876', 'HP:0001508', 'HP:0000966', 'HP:0002119', 'HP:0001522', 'HP:0025533', 'HP:0001272', 'HP:0001394', 'HP:0100259', 'HP:0002028', 'HP:0001250', 'HP:0002037', 'HP:0001396', 'HP:0001385', 'HP:0000750', 'HP:0002059', 'HP:0001744', 'HP:0004719', 'HP:0001249', 'HP:0000114', 'HP:0002910', 'HP:0006297']"
COG7,"['HP:0012736', 'HP:0000341', 'HP:0003202', 'HP:0000294', 'HP:0001181', 'HP:0000160', 'HP:0000952', 'HP:0000445', 'HP:0001635', 'HP:0002020', 'HP:0002240', 'HP:0004425', 'HP:0012471', 'HP:0001999', 'HP:0003196', 'HP:0010557', 'HP:0000319', 'HP:0000007', 'HP:0000470', 'HP:0001511', 'HP:0000278', 'HP:0001627', 'HP:0001290', 'HP:0000377', 'HP:0001410', 'HP:0003186', 'HP:0000582', 'HP:0002079', 'HP:0002910', 'HP:0000347', 'HP:0002093', 'HP:0011968', 'HP:0001508', 'HP:0004322', 'HP:0000365', 'HP:0001265', 'HP:0012448', 'HP:0012745', 'HP:0001272', 'HP:0010808', 'HP:0000011', 'HP:0000369', 'HP:0000998', 'HP:0001250', 'HP:0001943', 'HP:0002059', 'HP:0000126', 'HP:0000253', 'HP:0001744', 'HP:0003236']"
COG8,"['HP:0001762', 'HP:0001298', 'HP:0001531', 'HP:0025045', 'HP:0000286', 'HP:0031956', 'HP:0011918', 'HP:0001137', 'HP:0000007', 'HP:0008115', 'HP:0010665', 'HP:0000252', 'HP:0001252', 'HP:0008947', 'HP:0001263', 'HP:0012301', 'HP:0040019', 'HP:0002650', 'HP:0005280', 'HP:0001344', 'HP:0000347', 'HP:0032220', 'HP:0002133', 'HP:0002119', 'HP:0001272', 'HP:0001251', 'HP:0001249', 'HP:0003236', 'HP:0008150']"
COL10A1,"['HP:0002812', 'HP:0006208', 'HP:0005819', 'HP:0003025', 'HP:0006429', 'HP:0006028', 'HP:0011463', 'HP:0002938', 'HP:0000006', 'HP:0006414', 'HP:0002857', 'HP:0003016', 'HP:0002970', 'HP:0006431', 'HP:0003502', 'HP:0002980', 'HP:0002650', 'HP:0003301', 'HP:0003508', 'HP:0002515', 'HP:0004979', 'HP:0005871', 'HP:0009844', 'HP:0009882', 'HP:0003371', 'HP:0008833']"
COL11A1,"['HP:0000175', 'HP:0100250', 'HP:0000882', 'HP:0000520', 'HP:0100865', 'HP:0000260', 'HP:0009473', 'HP:0000179', 'HP:0000463', 'HP:0000347', 'HP:0001800', 'HP:0003031', 'HP:0001539', 'HP:0004279', 'HP:0000485', 'HP:0000946', 'HP:0000675', 'HP:0008905', 'HP:0000193', 'HP:0000541', 'HP:0007773', 'HP:0001382', 'HP:0000215', 'HP:0005462', 'HP:0012283', 'HP:0000773', 'HP:0012284', 'HP:0000006', 'HP:0002655', 'HP:0100807', 'HP:0000377', 'HP:0000518', 'HP:0002684', 'HP:0000890', 'HP:0008451', 'HP:0000501', 'HP:0000947', 'HP:0000922', 'HP:0004322', 'HP:0004209', 'HP:0005257', 'HP:0000545', 'HP:0200055', 'HP:0001655', 'HP:0000907', 'HP:0003826', 'HP:0003175', 'HP:0006645', 'HP:0000160', 'HP:0001773', 'HP:0000926', 'HP:0004327', 'HP:0000201', 'HP:0002007', 'HP:0003196', 'HP:0002705', 'HP:0000470', 'HP:0011800', 'HP:0005622', 'HP:0000407', 'HP:0005280', 'HP:0006095', 'HP:0000565', 'HP:0002986', 'HP:0003375', 'HP:0005476', 'HP:0003040', 'HP:0002688', 'HP:0001166', 'HP:0006456', 'HP:0001789', 'HP:0000519', 'HP:0012019', 'HP:0001804', 'HP:0000272', 'HP:0005442', 'HP:0000343', 'HP:0000286', 'HP:0000007', 'HP:0001538', 'HP:0003038', 'HP:0012385', 'HP:0002673', 'HP:0003026', 'HP:0000883', 'HP:0000316', 'HP:0012368', 'HP:0006407', 'HP:0000369']"
COL11A2,"['HP:0003015', 'HP:0010580', 'HP:0003175', 'HP:0000175', 'HP:0001591', 'HP:0000926', 'HP:0000272', 'HP:0000201', 'HP:0003196', 'HP:0003088', 'HP:0009803', 'HP:0000773', 'HP:0000007', 'HP:0002938', 'HP:0003173', 'HP:0001538', 'HP:0006237', 'HP:0000006', 'HP:0003016', 'HP:0011800', 'HP:0000407', 'HP:0000414', 'HP:0004568', 'HP:0000463', 'HP:0000347', 'HP:0003021', 'HP:0002656', 'HP:0004322', 'HP:0003037', 'HP:0001371', 'HP:0010049', 'HP:0006532', 'HP:0004679', 'HP:0004279', 'HP:0005257', 'HP:0000946', 'HP:0005003', 'HP:0003417', 'HP:0000478', 'HP:0002829', 'HP:0000410']"
COL12A1,"['HP:0002827', 'HP:0000218', 'HP:0001382', 'HP:0001075', 'HP:0003691', 'HP:0025403', 'HP:0002808', 'HP:0001319', 'HP:0003701', 'HP:0003557', 'HP:0000007', 'HP:0001284', 'HP:0000006', 'HP:0003198', 'HP:0002751', 'HP:0031936', 'HP:0003623', 'HP:0001270', 'HP:0001290', 'HP:0009046', 'HP:0003593', 'HP:0003741', 'HP:0001371', 'HP:0010628', 'HP:0002877', 'HP:0020152', 'HP:0003236']"
COL13A1,"['HP:0000508', 'HP:0000218', 'HP:0003577', 'HP:0003546', 'HP:0002020', 'HP:0001761', 'HP:0002783', 'HP:0000007', 'HP:0003306', 'HP:0000278', 'HP:0001270', 'HP:0000768', 'HP:0001290', 'HP:0000347', 'HP:0001283', 'HP:0011968', 'HP:0002093', 'HP:0010628', 'HP:0002421', 'HP:0000369', 'HP:0020152']"
COL17A1,"['HP:0000613', 'HP:0200020', 'HP:0000505', 'HP:0000006', 'HP:0012531', 'HP:0009926']"
COL18A1,"['HP:0000341', 'HP:0000541', 'HP:0007773', 'HP:0003577', 'HP:0001382', 'HP:0009917', 'HP:0000519', 'HP:0011228', 'HP:0002293', 'HP:0007906', 'HP:0012796', 'HP:0000585', 'HP:0001331', 'HP:0000286', 'HP:0000275', 'HP:0002436', 'HP:0000640', 'HP:0011463', 'HP:0000666', 'HP:0000007', 'HP:0002126', 'HP:0000252', 'HP:0000506', 'HP:0000081', 'HP:0001132', 'HP:0000006', 'HP:0000667', 'HP:0011800', 'HP:0001104', 'HP:0002085', 'HP:0000505', 'HP:0002021', 'HP:0001263', 'HP:0500087', 'HP:0000414', 'HP:0000075', 'HP:0005280', 'HP:0001643', 'HP:0000501', 'HP:0001123', 'HP:0002119', 'HP:0011483', 'HP:0001272', 'HP:0032794', 'HP:0030037', 'HP:0100019', 'HP:0012109', 'HP:0011220', 'HP:0011003', 'HP:0001251', 'HP:0000126', 'HP:0012805', 'HP:0001249', 'HP:0002059', 'HP:0000533', 'HP:0007843', 'HP:0003298']"
COL1A1,"['HP:0001631', 'HP:0002659', 'HP:0000963', 'HP:0001790', 'HP:0003088', 'HP:0000362', 'HP:0000260', 'HP:0001388', 'HP:0002980', 'HP:0000347', 'HP:0008921', 'HP:0009826', 'HP:0003023', 'HP:0031869', 'HP:0000938', 'HP:0005758', 'HP:0000939', 'HP:0004490', 'HP:0000703', 'HP:0004942', 'HP:0001382', 'HP:0004586', 'HP:0005005', 'HP:0001635', 'HP:0000325', 'HP:0001634', 'HP:0025019', 'HP:0000006', 'HP:0001622', 'HP:0002691', 'HP:0001290', 'HP:0010444', 'HP:0004349', 'HP:0002650', 'HP:0003179', 'HP:0004322', 'HP:0006367', 'HP:0000978', 'HP:0010648', 'HP:0005257', 'HP:0005623', 'HP:0001518', 'HP:0000926', 'HP:0002808', 'HP:0008873', 'HP:0032153', 'HP:0001507', 'HP:0000592', 'HP:0002007', 'HP:0008780', 'HP:0011800', 'HP:0005622', 'HP:0000023', 'HP:0002093', 'HP:0000365', 'HP:0002092', 'HP:0005897', 'HP:0006465', 'HP:0000444', 'HP:0000977', 'HP:0003321', 'HP:0002645', 'HP:0001075', 'HP:0001591', 'HP:0000923', 'HP:0001058', 'HP:0000272', 'HP:0002194', 'HP:0011463', 'HP:0005474', 'HP:0001252', 'HP:0005855', 'HP:0000974', 'HP:0000239', 'HP:0003502', 'HP:0001945', 'HP:0001623', 'HP:0002644', 'HP:0005731', 'HP:0003100', 'HP:0000883', 'HP:0002757', 'HP:0002982']"
COL1A2,"['HP:0000963', 'HP:0001790', 'HP:0001187', 'HP:0000362', 'HP:0000260', 'HP:0001388', 'HP:0001822', 'HP:0000347', 'HP:0008921', 'HP:0002816', 'HP:0009826', 'HP:0003023', 'HP:0005758', 'HP:0000939', 'HP:0000703', 'HP:0003577', 'HP:0001382', 'HP:0004586', 'HP:0001762', 'HP:0005005', 'HP:0001635', 'HP:0000325', 'HP:0001634', 'HP:0025019', 'HP:0000006', 'HP:0001622', 'HP:0002691', 'HP:0001290', 'HP:0010444', 'HP:0004349', 'HP:0002650', 'HP:0003179', 'HP:0004322', 'HP:0003307', 'HP:0006367', 'HP:0000978', 'HP:0010648', 'HP:0005257', 'HP:0002827', 'HP:0005623', 'HP:0001518', 'HP:0000926', 'HP:0002808', 'HP:0008873', 'HP:0032153', 'HP:0000592', 'HP:0002007', 'HP:0001659', 'HP:0005622', 'HP:0000023', 'HP:0000015', 'HP:0002093', 'HP:0000365', 'HP:0002092', 'HP:0005897', 'HP:0000767', 'HP:0001848', 'HP:0000444', 'HP:0000977', 'HP:0001653', 'HP:0003321', 'HP:0002645', 'HP:0001075', 'HP:0001591', 'HP:0001030', 'HP:0000923', 'HP:0001058', 'HP:0002194', 'HP:0011463', 'HP:0005474', 'HP:0000007', 'HP:0001373', 'HP:0001763', 'HP:0005855', 'HP:0000974', 'HP:0000239', 'HP:0001623', 'HP:0002644', 'HP:0003100', 'HP:0000883', 'HP:0002757', 'HP:0002982']"
COL25A1,"['HP:0003577', 'HP:0000508', 'HP:0000007']"
COL27A1,"['HP:0003083', 'HP:0000407', 'HP:0000316', 'HP:0000007', 'HP:0002650', 'HP:0000431', 'HP:0011220', 'HP:0004322', 'HP:0001263']"
COL2A1,"['HP:0011860', 'HP:0025258', 'HP:0012313', 'HP:0001552', 'HP:0000175', 'HP:0002779', 'HP:0200083', 'HP:0000176', 'HP:0009566', 'HP:0010891', 'HP:0008839', 'HP:0003320', 'HP:0001156', 'HP:0000520', 'HP:0002938', 'HP:0003311', 'HP:0000618', 'HP:0004180', 'HP:0002751', 'HP:0003302', 'HP:0001270', 'HP:0000768', 'HP:0004227', 'HP:0000463', 'HP:0001288', 'HP:0003467', 'HP:0008788', 'HP:0003301', 'HP:0008921', 'HP:0008857', 'HP:0001426', 'HP:0000280', 'HP:0003037', 'HP:0003270', 'HP:0008819', 'HP:0000946', 'HP:0005086', 'HP:0003417', 'HP:0008800', 'HP:0000193', 'HP:0001376', 'HP:0000541', 'HP:0007773', 'HP:0100864', 'HP:0001762', 'HP:0031153', 'HP:0008843', 'HP:0001519', 'HP:0003025', 'HP:0001634', 'HP:0005068', 'HP:0006172', 'HP:0000773', 'HP:0000006', 'HP:0002655', 'HP:0002945', 'HP:0000405', 'HP:0001290', 'HP:0030672', 'HP:0000518', 'HP:0002868', 'HP:0001760', 'HP:0002650', 'HP:0000501', 'HP:0000947', 'HP:0000339', 'HP:0004322', 'HP:0002656', 'HP:0003307', 'HP:0001371', 'HP:0006144', 'HP:0010743', 'HP:0002318', 'HP:0002750', 'HP:0001537', 'HP:0000545', 'HP:0002996', 'HP:0012230', 'HP:0008271', 'HP:0003510', 'HP:0003015', 'HP:0002812', 'HP:0003521', 'HP:0002827', 'HP:0002942', 'HP:0003175', 'HP:0000907', 'HP:0003826', 'HP:0000476', 'HP:0000160', 'HP:0004591', 'HP:0001773', 'HP:0000926', 'HP:0002808', 'HP:0008873', 'HP:0001831', 'HP:0003071', 'HP:0003273', 'HP:0001507', 'HP:0000201', 'HP:0009803', 'HP:0003173', 'HP:0003180', 'HP:0009290', 'HP:0003022', 'HP:0000470', 'HP:0011800', 'HP:0007992', 'HP:0001377', 'HP:0005622', 'HP:0000774', 'HP:0002663', 'HP:0008142', 'HP:0000407', 'HP:0000023', 'HP:0004568', 'HP:0030663', 'HP:0001387', 'HP:0000256', 'HP:0004565', 'HP:0005280', 'HP:0009778', 'HP:0002515', 'HP:0000365', 'HP:0004619', 'HP:0003375', 'HP:0010501', 'HP:0002651', 'HP:0003040', 'HP:0000767', 'HP:0003370', 'HP:0030431', 'HP:0040160', 'HP:0002657', 'HP:0001166', 'HP:0000403', 'HP:0002829', 'HP:0006110', 'HP:0010454', 'HP:0010230', 'HP:0002098', 'HP:0000311', 'HP:0001789', 'HP:0000272', 'HP:0005716', 'HP:0200003', 'HP:0001561', 'HP:0005920', 'HP:0003300', 'HP:0001763', 'HP:0001538', 'HP:0002857', 'HP:0001252', 'HP:0000888', 'HP:0006406', 'HP:0011304', 'HP:0004603', 'HP:0001169', 'HP:0000211', 'HP:0002970', 'HP:0002673', 'HP:0006361', 'HP:0030329', 'HP:0003026', 'HP:0002866', 'HP:0005743', 'HP:0030041', 'HP:0000969', 'HP:0001248', 'HP:0003021', 'HP:0010049', 'HP:0000883', 'HP:0002091', 'HP:0004298', 'HP:0012368', 'HP:0002758', 'HP:0005451', 'HP:0004605', 'HP:0009882']"
COL3A1,"['HP:0012499', 'HP:0012151', 'HP:0025420', 'HP:0000139', 'HP:0006522', 'HP:0004933', 'HP:0032447', 'HP:0002293', 'HP:0001762', 'HP:0001075', 'HP:0001030', 'HP:0000678', 'HP:0000322', 'HP:0001273', 'HP:0031157', 'HP:0000496', 'HP:0002350', 'HP:0002647', 'HP:0002619', 'HP:0000490', 'HP:0000387', 'HP:0001634', 'HP:0000540', 'HP:0025395', 'HP:0000319', 'HP:0025019', 'HP:0000007', 'HP:0002126', 'HP:0001903', 'HP:0001842', 'HP:0000006', 'HP:0100807', 'HP:0002365', 'HP:0001321', 'HP:0030009', 'HP:0012385', 'HP:0002617', 'HP:0000974', 'HP:0002108', 'HP:0025392', 'HP:0006094', 'HP:0000278', 'HP:0001627', 'HP:0001270', 'HP:0000023', 'HP:0001073', 'HP:0100645', 'HP:0000563', 'HP:0005620', 'HP:0009771', 'HP:0005267', 'HP:0004944', 'HP:0000276', 'HP:0000347', 'HP:0100749', 'HP:0001238', 'HP:0004322', 'HP:0031364', 'HP:0002105', 'HP:0002119', 'HP:0000704', 'HP:0000767', 'HP:0006201', 'HP:0010648', 'HP:0000978', 'HP:0006099', 'HP:0000993', 'HP:0000418', 'HP:0000233', 'HP:0001250', 'HP:0000750', 'HP:0000028', 'HP:0032446', 'HP:0100718', 'HP:0006535', 'HP:0006480']"
COL4A1,"['HP:0030880', 'HP:0002301', 'HP:0030890', 'HP:0007209', 'HP:0002076', 'HP:0000519', 'HP:0010636', 'HP:0003829', 'HP:0000622', 'HP:0000790', 'HP:0003828', 'HP:0000573', 'HP:0000083', 'HP:0001269', 'HP:0000107', 'HP:0001136', 'HP:0000726', 'HP:0000613', 'HP:0002132', 'HP:0007957', 'HP:0009918', 'HP:0000540', 'HP:0003581', 'HP:0001257', 'HP:0000482', 'HP:0003394', 'HP:0032046', 'HP:0000238', 'HP:0000646', 'HP:0001297', 'HP:0000006', 'HP:0001249', 'HP:0002273', 'HP:0003487', 'HP:0500087', 'HP:0011496', 'HP:0002352', 'HP:0007894', 'HP:0005115', 'HP:0000577', 'HP:0007676', 'HP:0000568', 'HP:0002172', 'HP:0000112', 'HP:0002451', 'HP:0000501', 'HP:0004944', 'HP:0001123', 'HP:0001878', 'HP:0011500', 'HP:0001272', 'HP:0000483', 'HP:0002140', 'HP:0001250', 'HP:0000545', 'HP:0003236', 'HP:0001342']"
COL4A2,"['HP:0002132', 'HP:0002069', 'HP:0002301', 'HP:0001510', 'HP:0002510', 'HP:0002170', 'HP:0032391', 'HP:0002126', 'HP:0010636', 'HP:0007359', 'HP:0003829', 'HP:0000565', 'HP:0000006', 'HP:0001263', 'HP:0002119']"
COL4A3,"['HP:0001142', 'HP:0000121', 'HP:0001425', 'HP:0000790', 'HP:0000083', 'HP:0003676', 'HP:0000822', 'HP:0003774', 'HP:0001134', 'HP:0012577', 'HP:0000007', 'HP:0000006', 'HP:0000100', 'HP:0000093', 'HP:0200020', 'HP:0000407', 'HP:0000518', 'HP:0000123', 'HP:0002157', 'HP:0000099', 'HP:0002148', 'HP:0003680', 'HP:0030034', 'HP:0000365', 'HP:0004722', 'HP:0011501', 'HP:0000545']"
COL4A4,"['HP:0001425', 'HP:0000790', 'HP:0000083', 'HP:0012577', 'HP:0003676', 'HP:0000822', 'HP:0003774', 'HP:0000007', 'HP:0000006', 'HP:0000100', 'HP:0000093', 'HP:0200020', 'HP:0000518', 'HP:0000123', 'HP:0000365', 'HP:0003680', 'HP:0030034', 'HP:0004722', 'HP:0011501', 'HP:0000545']"
COL4A5,"['HP:0001142', 'HP:0001425', 'HP:0000519', 'HP:0002907', 'HP:0000083', 'HP:0006756', 'HP:0001873', 'HP:0000822', 'HP:0003676', 'HP:0003774', 'HP:0001423', 'HP:0001417', 'HP:0000093', 'HP:0000100', 'HP:0200020', 'HP:0000407', 'HP:0000123', 'HP:0008064', 'HP:0030034', 'HP:0004722', 'HP:0011501', 'HP:0000545', 'HP:0000829']"
COL4A6,"['HP:0008554', 'HP:0000365', 'HP:0001419']"
COL5A1,"['HP:0100858', 'HP:0002616', 'HP:0003835', 'HP:0005302', 'HP:0000218', 'HP:0002076', 'HP:0001382', 'HP:0001075', 'HP:0001030', 'HP:0025014', 'HP:0000678', 'HP:0005222', 'HP:0001058', 'HP:0000272', 'HP:0001083', 'HP:0000286', 'HP:0000490', 'HP:0001187', 'HP:0001634', 'HP:0002783', 'HP:0033982', 'HP:0000592', 'HP:0006316', 'HP:0011108', 'HP:0001373', 'HP:0005313', 'HP:0001763', 'HP:0000006', 'HP:0010485', 'HP:0008947', 'HP:0000974', 'HP:0004938', 'HP:0000268', 'HP:0004937', 'HP:0000023', 'HP:0001073', 'HP:0000394', 'HP:0000494', 'HP:0000460', 'HP:0002650', 'HP:0000347', 'HP:0004944', 'HP:0033981', 'HP:0004322', 'HP:0002105', 'HP:0001065', 'HP:0000767', 'HP:0001027', 'HP:0000978', 'HP:0002758', 'HP:0010648', 'HP:0002010', 'HP:0005100', 'HP:0001537', 'HP:0010500', 'HP:0000545', 'HP:0000977', 'HP:0002036', 'HP:0000993']"
COL5A2,"['HP:0000974', 'HP:0001374', 'HP:0031869', 'HP:0001027', 'HP:0100790', 'HP:0000978', 'HP:0011108', 'HP:0001382', 'HP:0001762', 'HP:0001073', 'HP:0001030', 'HP:0025014', 'HP:0000006', 'HP:0002761', 'HP:0000286', 'HP:0000977', 'HP:0002105', 'HP:0000993']"
COL6A1,"['HP:0003202', 'HP:0003700', 'HP:0002827', 'HP:0000218', 'HP:0000311', 'HP:0001762', 'HP:0003803', 'HP:0003828', 'HP:0002808', 'HP:0001319', 'HP:0000411', 'HP:0005072', 'HP:0008180', 'HP:0003713', 'HP:0008872', 'HP:0002783', 'HP:0003701', 'HP:0003676', 'HP:0003557', 'HP:0000007', 'HP:0006149', 'HP:0100490', 'HP:0003198', 'HP:0000006', 'HP:0002460', 'HP:0001558', 'HP:0003306', 'HP:0001270', 'HP:0000473', 'HP:0001626', 'HP:0002747', 'HP:0002650', 'HP:0002987', 'HP:0003677', 'HP:0001508', 'HP:0005988', 'HP:0003741', 'HP:0003593', 'HP:0001371', 'HP:0003325', 'HP:0007502', 'HP:0010628', 'HP:0001533', 'HP:0006460', 'HP:0002877', 'HP:0006466', 'HP:0000975', 'HP:0030095', 'HP:0020152', 'HP:0003236']"
COL6A2,"['HP:0003202', 'HP:0003700', 'HP:0002827', 'HP:0000218', 'HP:0000311', 'HP:0032341', 'HP:0001762', 'HP:0003803', 'HP:0003828', 'HP:0002808', 'HP:0001319', 'HP:0000411', 'HP:0005072', 'HP:0008180', 'HP:0003713', 'HP:0008872', 'HP:0002783', 'HP:0003701', 'HP:0003676', 'HP:0003557', 'HP:0011463', 'HP:0000007', 'HP:0006149', 'HP:0002938', 'HP:0100490', 'HP:0003198', 'HP:0000006', 'HP:0002460', 'HP:0001558', 'HP:0003306', 'HP:0002944', 'HP:0001270', 'HP:0000473', 'HP:0001626', 'HP:0002747', 'HP:0002650', 'HP:0002987', 'HP:0005997', 'HP:0003677', 'HP:0001508', 'HP:0004322', 'HP:0005988', 'HP:0003741', 'HP:0003593', 'HP:0001371', 'HP:0003325', 'HP:0007502', 'HP:0010628', 'HP:0001533', 'HP:0006460', 'HP:0002877', 'HP:0006466', 'HP:0000975', 'HP:0030095', 'HP:0001771', 'HP:0020152', 'HP:0003236']"
COL6A3,"['HP:0003202', 'HP:0003700', 'HP:0002827', 'HP:0000218', 'HP:0000311', 'HP:0001762', 'HP:0003803', 'HP:0003828', 'HP:0002808', 'HP:0001319', 'HP:0000411', 'HP:0005072', 'HP:0008180', 'HP:0003713', 'HP:0002174', 'HP:0008872', 'HP:0002783', 'HP:0012048', 'HP:0003701', 'HP:0003676', 'HP:0003557', 'HP:0000007', 'HP:0006149', 'HP:0100490', 'HP:0003198', 'HP:0000006', 'HP:0002460', 'HP:0001558', 'HP:0003306', 'HP:0001270', 'HP:0000473', 'HP:0001626', 'HP:0002747', 'HP:0002650', 'HP:0002987', 'HP:0003677', 'HP:0002356', 'HP:0001508', 'HP:0005988', 'HP:0003741', 'HP:0003593', 'HP:0001371', 'HP:0003325', 'HP:0007502', 'HP:0010628', 'HP:0001533', 'HP:0006460', 'HP:0012049', 'HP:0002877', 'HP:0006466', 'HP:0000975', 'HP:0030095', 'HP:0020152', 'HP:0003236']"
COL7A1,"['HP:0000559', 'HP:0003577', 'HP:0001075', 'HP:0000160', 'HP:0001030', 'HP:0000962', 'HP:0001596', 'HP:0002860', 'HP:0001056', 'HP:0001510', 'HP:0000007', 'HP:0004057', 'HP:0005203', 'HP:0001903', 'HP:0000006', 'HP:0002043', 'HP:0012221', 'HP:0000518', 'HP:0000989', 'HP:0000951', 'HP:0000509', 'HP:0002164', 'HP:0001371', 'HP:0007383', 'HP:0002019', 'HP:0008404', 'HP:0004395', 'HP:0002015', 'HP:0001810', 'HP:0008066', 'HP:0006297']"
COL8A2,"['HP:0007957', 'HP:0012039', 'HP:0007705', 'HP:0001131', 'HP:0012038', 'HP:0000006', 'HP:0012040']"
COL9A1,"['HP:0006398', 'HP:0002654', 'HP:0005041', 'HP:0000007', 'HP:0002857', 'HP:0000006', 'HP:0000407', 'HP:0007964', 'HP:0005645', 'HP:0030041', 'HP:0003301', 'HP:0010585', 'HP:0002656', 'HP:0004322', 'HP:0003621', 'HP:0002815', 'HP:0030839', 'HP:0003370', 'HP:0012368', 'HP:0002758', 'HP:0006407', 'HP:0000483', 'HP:0003365', 'HP:0011003', 'HP:0002829']"
COL9A2,"['HP:0002970', 'HP:0000407', 'HP:0004279', 'HP:0000541', 'HP:0007773', 'HP:0011463', 'HP:0003502', 'HP:0010582', 'HP:0000007', 'HP:0005086', 'HP:0005715', 'HP:0011003', 'HP:0000006', 'HP:0010585', 'HP:0002515', 'HP:0002656', 'HP:0003071', 'HP:0004322']"
COL9A3,"['HP:0002663', 'HP:0003701', 'HP:0003066', 'HP:0030839', 'HP:0002758', 'HP:0003502', 'HP:0010582', 'HP:0001384', 'HP:0000006', 'HP:0010585', 'HP:0008180', 'HP:0002656', 'HP:0003236', 'HP:0001377', 'HP:0010049']"
COLEC10,"['HP:0000508', 'HP:0000581', 'HP:0000175', 'HP:0002553', 'HP:0001540', 'HP:0000204', 'HP:0007957', 'HP:0002974', 'HP:0001510', 'HP:0000007', 'HP:0000537', 'HP:0030084', 'HP:0100258', 'HP:0002006', 'HP:0000960', 'HP:0011968', 'HP:0000808', 'HP:0004322', 'HP:0000365', 'HP:0000316', 'HP:0030025', 'HP:0000054', 'HP:0000085', 'HP:0001249', 'HP:0000048', 'HP:0001263', 'HP:0000028']"
COLEC11,"['HP:0000508', 'HP:0002827', 'HP:0000581', 'HP:0001363', 'HP:0000175', 'HP:0008897', 'HP:0002553', 'HP:0000431', 'HP:0001540', 'HP:0001382', 'HP:0000289', 'HP:0005243', 'HP:0000925', 'HP:0002974', 'HP:0000204', 'HP:0000007', 'HP:0002825', 'HP:0010759', 'HP:0000537', 'HP:0000426', 'HP:0000486', 'HP:0000473', 'HP:0000494', 'HP:0003468', 'HP:0000365', 'HP:0009004', 'HP:0002714', 'HP:0000316', 'HP:0000047', 'HP:0000437', 'HP:0000085', 'HP:0001249', 'HP:0000028', 'HP:0002996', 'HP:0001263', 'HP:0000337']"
COLGALT1,"['HP:0002514', 'HP:0002352', 'HP:0001290', 'HP:0002510', 'HP:0000007', 'HP:0001250', 'HP:0002059', 'HP:0001263', 'HP:0001342']"
COLQ,"['HP:0000508', 'HP:0000597', 'HP:0008872', 'HP:0001612', 'HP:0003690', 'HP:0003388', 'HP:0000007', 'HP:0002715', 'HP:0003198', 'HP:0001252', 'HP:0003473', 'HP:0001290', 'HP:0002747', 'HP:0003554', 'HP:0002650', 'HP:0003199', 'HP:0002093', 'HP:0003307', 'HP:0003593', 'HP:0003403', 'HP:0003436', 'HP:0003443', 'HP:0003324', 'HP:0001260', 'HP:0002015']"
