g_id,hpo_ids
ABCB6,"['HP:0020073', 'HP:0002153', 'HP:0003394', 'HP:0000568', 'HP:0001034', 'HP:0003324', 'HP:0000006', 'HP:0000589', 'HP:0002378', 'HP:0003768']"
ABCB7,"['HP:0002080', 'HP:0002470', 'HP:0004840', 'HP:0001310', 'HP:0002075', 'HP:0001939', 'HP:0001924', 'HP:0001419', 'HP:0001260', 'HP:0003621', 'HP:0003487', 'HP:0002169']"
ABCC1,"['HP:0000407', 'HP:0000006']"
ABCC2,"['HP:0001080', 'HP:0002908', 'HP:0000007', 'HP:0000952']"
ABCC6,"['HP:0001102', 'HP:0000121', 'HP:0001681', 'HP:0000218', 'HP:0011506', 'HP:0001677', 'HP:0001635', 'HP:0002808', 'HP:0000573', 'HP:0005462', 'HP:0000766', 'HP:0033026', 'HP:0100817', 'HP:0002634', 'HP:0001634', 'HP:0000592', 'HP:0000822', 'HP:0001718', 'HP:0000007', 'HP:0002705', 'HP:0000608', 'HP:0001297', 'HP:0000006', 'HP:0001658', 'HP:0033027', 'HP:0000505', 'HP:0004417', 'HP:0004912', 'HP:0032553', 'HP:0004943', 'HP:0000973', 'HP:0025507', 'HP:0002650', 'HP:0025115', 'HP:0012457', 'HP:0005297', 'HP:0045051', 'HP:0000545', 'HP:0025533', 'HP:0007663', 'HP:0001717', 'HP:0012426', 'HP:0001723', 'HP:0002239', 'HP:0004966', 'HP:0001342']"
ABCC8,"['HP:0002173', 'HP:0001347', 'HP:0011182', 'HP:0000855', 'HP:0001425', 'HP:0001325', 'HP:0003074', 'HP:0001518', 'HP:0002329', 'HP:0012434', 'HP:0000825', 'HP:0001259', 'HP:0001257', 'HP:0000007', 'HP:0004510', 'HP:0001324', 'HP:0000006', 'HP:0100651', 'HP:0000486', 'HP:0001290', 'HP:0031819', 'HP:0003584', 'HP:0000737', 'HP:0001270', 'HP:0001520', 'HP:0002919', 'HP:0005978', 'HP:0008255', 'HP:0003698', 'HP:0002305', 'HP:0003076', 'HP:0001250', 'HP:0001943', 'HP:0001251', 'HP:0001249']"
ABCC9,"['HP:0001374', 'HP:0004975', 'HP:0000639', 'HP:0007665', 'HP:0003596', 'HP:0004756', 'HP:0005590', 'HP:0003577', 'HP:0000215', 'HP:0010068', 'HP:0000431', 'HP:0002690', 'HP:0000965', 'HP:0000926', 'HP:0011081', 'HP:0002395', 'HP:0000286', 'HP:0000343', 'HP:0004540', 'HP:0000336', 'HP:0010109', 'HP:0001698', 'HP:0001047', 'HP:0012378', 'HP:0010055', 'HP:0001566', 'HP:0003300', 'HP:0000007', 'HP:0000739', 'HP:0002938', 'HP:0000601', 'HP:0000006', 'HP:0000470', 'HP:0033204', 'HP:0003016', 'HP:0000179', 'HP:0001252', 'HP:0001256', 'HP:0001644', 'HP:0001377', 'HP:0030891', 'HP:0000774', 'HP:0004634', 'HP:0000527', 'HP:0002673', 'HP:0005445', 'HP:0000212', 'HP:0010535', 'HP:0000463', 'HP:0001004', 'HP:0000256', 'HP:0001640', 'HP:0005129', 'HP:0005280', 'HP:0001643', 'HP:0001520', 'HP:0002172', 'HP:0025169', 'HP:0002650', 'HP:0000455', 'HP:0000280', 'HP:0001647', 'HP:0000219', 'HP:0003593', 'HP:0000689', 'HP:0012368', 'HP:0002750', 'HP:0006670', 'HP:0500093', 'HP:0001537', 'HP:0011220', 'HP:0008822', 'HP:0004757', 'HP:0000939', 'HP:0000957', 'HP:0001771']"
ABCD1,"['HP:0007340', 'HP:0002500', 'HP:0001596', 'HP:0002385', 'HP:0000726', 'HP:0006938', 'HP:0003676', 'HP:0002078', 'HP:0002180', 'HP:0002607', 'HP:0000618', 'HP:0002311', 'HP:0002371', 'HP:0000135', 'HP:0008207', 'HP:0000953', 'HP:0002839', 'HP:0003455', 'HP:0001271', 'HP:0001258', 'HP:0000709', 'HP:0001283', 'HP:0001419', 'HP:0002070', 'HP:0007018', 'HP:0000365', 'HP:0000802', 'HP:0000020', 'HP:0000572', 'HP:0001250', 'HP:0001350']"
ABCD3,"['HP:0001891', 'HP:0003676', 'HP:0003645', 'HP:0012202', 'HP:0001409', 'HP:0000007', 'HP:0000952', 'HP:0002904', 'HP:0001399', 'HP:0001744', 'HP:0025196', 'HP:0002240', 'HP:0002910', 'HP:0001395', 'HP:0003593', 'HP:0006580']"
ABCD4,"['HP:0001631', 'HP:0002533', 'HP:0003577', 'HP:0002160', 'HP:0002020', 'HP:0001873', 'HP:0002912', 'HP:0001510', 'HP:0000007', 'HP:0001903', 'HP:0002789', 'HP:0002156', 'HP:0001875', 'HP:0001290', 'HP:0001254', 'HP:0006610', 'HP:0000023', 'HP:0003223', 'HP:0003524', 'HP:0000347', 'HP:0011968', 'HP:0001680', 'HP:0002092', 'HP:0000316', 'HP:0003145', 'HP:0012120', 'HP:0002059', 'HP:0000028', 'HP:0001263']"
