g_id,omim_id,hpo_ids
ABCA4,OMIM:604116,"['HP:0007994', 'HP:0007984', 'HP:0011462', 'HP:0000007', 'HP:0011504', 'HP:0000572', 'HP:0003621', 'HP:0000543', 'HP:0000548', 'HP:0000603', 'HP:0007843', 'HP:0011463', 'HP:0000580', 'HP:0000551']"
ABCA5,OMIM:135400,"['HP:0000286', 'HP:0000494', 'HP:0012810', 'HP:0001007', 'HP:0009928', 'HP:0000414', 'HP:0000169', 'HP:0004540', 'HP:0000007', 'HP:0000998']"
ABCA7,OMIM:608907,"['HP:0002071', 'HP:0002511', 'HP:0000006', 'HP:0003584', 'HP:0002185', 'HP:0100256', 'HP:0000734', 'HP:0000716', 'HP:0002120', 'HP:0410170', 'HP:0002354']"
ABCB1,OMIM:612244,['HP:0002037']
ABCB11,OMIM:601847,"['HP:0002630', 'HP:0001744', 'HP:0001402', 'HP:0001406', 'HP:0004322', 'HP:0002240', 'HP:0002908', 'HP:0003155', 'HP:0003819', 'HP:0003593', 'HP:0000007', 'HP:0000989', 'HP:0001394', 'HP:0001046', 'HP:0002014', 'HP:0001508']"
ABCB11,OMIM:605479,"['HP:0000989', 'HP:0002908', 'HP:0000952', 'HP:0003155', 'HP:0001081', 'HP:0001406', 'HP:0002240', 'HP:0000007']"
ABCB4,OMIM:600803,"['HP:0001733', 'HP:0002910', 'HP:0001395', 'HP:0011980', 'HP:0003155', 'HP:0001081', 'HP:0030151', 'HP:0000007', 'HP:0001082', 'HP:0000952', 'HP:0000006']"
ABCB4,OMIM:602347,"['HP:0000952', 'HP:0000989', 'HP:0001394', 'HP:0001425', 'HP:0001406', 'HP:0001744', 'HP:0000007', 'HP:0002014', 'HP:0002024', 'HP:0002240', 'HP:0002910', 'HP:0001408', 'HP:0003593', 'HP:0006580']"
ABCB4,OMIM:614972,"['HP:0000989', 'HP:0200148', 'HP:0200150', 'HP:0000952', 'HP:0025116', 'HP:0001406', 'HP:0000007', 'HP:0000006', 'HP:0001622']"
ABCB6,OMIM:609153,"['HP:0003768', 'HP:0003394', 'HP:0002378', 'HP:0002153', 'HP:0003324', 'HP:0000006']"
ABCB6,OMIM:614497,"['HP:0000589', 'HP:0000568', 'HP:0000006']"
ABCB6,OMIM:615402,"['HP:0001034', 'HP:0020073', 'HP:0000006']"
